ID,Rank,Name,GENDER,OVR,PAC,SHO,PAS,DRI,DEF
209331,1,Mohamed Salah,M,91,89,88,86,90,45
231747,3,Kylian Mbappé,M,91,97,90,81,92,37
231443,5,Ousmane Dembélé,M,90,91,88,83,93,50
231866,6,Rodri,M,90,65,80,86,84,86
203376,8,Virgil van Dijk,M,90,73,60,72,72,90
252371,9,Jude Bellingham,M,90,80,86,83,90,78
239085,10,Erling Haaland,M,90,86,91,70,80,45
233419,11,Raphinha,M,89,91,84,85,87,53
235212,12,Achraf Hakimi,M,89,92,79,82,83,82
277643,14,Lamine Yamal,M,89,85,81,86,90,23
255253,15,Vitinha,M,89,72,80,86,90,75
230621,18,Gianluigi Donnarumma,M,89,90,83,70,90,52
251854,19,Pedri,M,89,77,73,85,91,78
212622,20,Joshua Kimmich,M,89,72,74,89,84,83
212831,22,Alisson,M,89,86,85,86,89,56
202126,23,Harry Kane,M,89,64,92,83,82,48
239053,24,Federico Valverde,M,89,88,84,84,84,83
238794,26,Vini Jr.,M,89,95,84,81,91,29
256630,27,Florian Wirtz,M,89,80,82,88,90,54
192119,28,Thibaut Courtois,M,89,85,89,76,90,46
188545,30,Robert Lewandowski,M,88,74,89,79,85,44
231478,34,Lautaro Martínez,M,88,81,88,75,84,51
233731,35,Alexander Isak,M,88,83,89,73,85,39
256790,37,Jamal Musiala,M,88,80,82,80,90,66
232580,38,Gabriel,M,88,64,44,64,65,88
246669,41,Bukayo Saka,M,88,84,82,85,88,60
200389,43,Jan Oblak,M,88,85,90,78,87,46
257534,44,Cole Palmer,M,87,75,83,87,87,50
247635,45,Khvicha Kvaratskhelia,M,87,86,80,83,88,58
237383,47,Alessandro Bastoni,M,87,74,46,75,76,88
215441,50,Serhou Guirassy,M,87,72,88,76,83,45
192985,51,Kevin De Bruyne,M,87,66,83,92,84,65
228702,52,Frenkie de Jong,M,87,82,71,85,87,78
256079,54,Moisés Caicedo,M,87,71,64,78,81,84
234378,55,Declan Rice,M,87,72,73,84,80,83
207865,57,Marquinhos,M,87,78,56,75,74,89
177683,58,Yann Sommer,M,87,83,82,85,89,50
241486,62,Jules Koundé,M,87,84,47,74,79,86
212198,63,Bruno Fernandes,M,87,67,83,89,83,65
243715,64,William Saliba,M,87,77,39,68,72,87
246191,66,Julián Alvarez,M,87,85,87,81,87,57
213331,67,Jonathan Tah,M,87,63,38,60,63,87
239837,68,Alexis Mac Allister,M,87,66,82,85,85,78
215698,70,Mike Maignan,M,87,84,83,85,88,64
222665,72,Martin Ødegaard,M,87,68,79,88,87,67
220901,74,David Raya,M,87,86,84,87,87,62
241651,75,Viktor Gyökeres,M,87,90,86,73,81,36
224232,77,Nicolò Barella,M,87,80,78,84,86,81
232293,78,Victor Osimhen,M,87,92,84,65,81,42
252145,79,Nuno Mendes,M,86,95,65,76,82,80
205452,81,Antonio Rüdiger,M,86,79,55,72,70,84
247827,83,Michael Olise,M,86,78,80,84,87,50
231281,85,Trent Alexander-Arnold,M,86,76,72,89,80,80
